Wires      Total Counts    CT Counts    CT (%)
0 1    6             0            0
1 2    12             0            0
2 3    19             0            0
3 4    33             0            0
4 5    46             0            0
5 6    56             0            0
6 7    79             1            1.26582
7 8    107             2            1.86916
8 9    117             1            0.854701
9 10    126             1            0.793651
10 11    139             0            0
11 12    155             1            0.645161
12 13    177             1            0.564972
13 14    209             0            0
14 15    220             1            0.454545
15 16    257             1            0.389105
16 17    290             4            1.37931
17 18    311             2            0.643087
18 19    324             5            1.54321
19 20    345             2            0.57971
20 21    372             3            0.806452
21 22    386             4            1.03627
22 23    386             5            1.29534
23 24    412             4            0.970874
24 25    442             3            0.678733
25 26    467             8            1.71306
26 27    498             6            1.20482
27 28    515             4            0.776699
28 29    534             10            1.87266
29 30    527             6            1.13852
30 31    551             2            0.362976
31 32    603             3            0.497512
32 33    641             7            1.09204
33 34    677             12            1.77253
34 35    698             6            0.859599
35 36    722             5            0.692521
36 37    713             5            0.701262
37 38    712             9            1.26404
38 39    719             14            1.94715
39 40    746             6            0.80429
40 41    749             7            0.934579
41 42    768             11            1.43229
42 43    791             9            1.1378
43 44    852             6            0.704225
44 45    901             9            0.99889
45 46    916             8            0.873362
46 47    909             12            1.32013
47 48    904             4            0.442478
48 49    873             6            0.687285
49 50    858             7            0.815851
50 51    863             10            1.15875
51 52    873             8            0.91638
52 53    870             2            0.229885
53 54    901             9            0.99889
54 55    916             5            0.545852
55 56    901             3            0.332963
56 57    885             4            0.451977
57 58    872             4            0.458716
58 59    884             6            0.678733
59 60    869             7            0.805524
60 61    861             6            0.696864
61 62    953             10            1.04932
62 63    976             5            0.512295
63 64    953             8            0.839454
64 65    981             9            0.917431
65 66    991             9            0.908174
66 67    995             12            1.20603
67 68    928             7            0.75431
68 69    931             5            0.537057
69 70    922             5            0.542299
70 71    914             13            1.42232
71 72    881             7            0.794552
72 73    865             11            1.27168
73 74    878             6            0.683371
74 75    920             11            1.19565
75 76    905             5            0.552486
76 77    883             6            0.679502
77 78    899             9            1.00111
78 79    899             10            1.11235
79 80    885             3            0.338983
80 81    939             13            1.38445
81 82    925             7            0.756757
82 83    909             12            1.32013
83 84    908             5            0.550661
84 85    894             3            0.33557
85 86    874             8            0.915332
86 87    881             8            0.908059
87 88    912             9            0.986842
88 89    911             4            0.439078
89 90    918             11            1.19826
90 91    916             6            0.655022
91 92    913             6            0.657174
92 93    924             10            1.08225
93 94    890             8            0.898876
94 95    868             7            0.806452
95 96    906             7            0.772627
96 97    876             6            0.684932
97 98    885             7            0.79096
98 99    875             10            1.14286
99 100    891             8            0.897868
100 101    868             6            0.691244
101 102    864             8            0.925926
102 103    876             7            0.799087
103 104    858             8            0.932401
104 105    863             10            1.15875
105 106    875             8            0.914286
106 107    860             7            0.813953
107 108    885             5            0.564972
108 109    915             9            0.983607
109 110    892             3            0.336323
110 111    886             7            0.790068
111 112    866             8            0.923788
112 113    852             7            0.821596
113 114    827             9            1.08827
114 115    807             10            1.23916
115 116    834             4            0.479616
116 117    815             5            0.613497
117 118    816             5            0.612745
