Wires      Total Counts    CT Counts    CT (%)
0 1    10             0            0
1 2    17             0            0
2 3    32             0            0
3 4    35             0            0
4 5    42             0            0
5 6    52             0            0
6 7    46             1            2.17391
7 8    49             0            0
8 9    54             1            1.85185
9 10    62             0            0
10 11    59             1            1.69492
11 12    63             0            0
12 13    70             1            1.42857
13 14    77             0            0
14 15    83             0            0
15 16    91             1            1.0989
16 17    103             1            0.970874
17 18    110             0            0
18 19    115             1            0.869565
19 20    116             1            0.862069
20 21    121             2            1.65289
21 22    123             2            1.62602
22 23    119             2            1.68067
23 24    129             2            1.55039
24 25    146             1            0.684932
25 26    156             2            1.28205
26 27    167             1            0.598802
27 28    167             2            1.1976
28 29    179             3            1.67598
29 30    182             1            0.549451
30 31    197             0            0
31 32    197             0            0
32 33    188             0            0
33 34    179             1            0.558659
34 35    179             3            1.67598
35 36    183             2            1.0929
36 37    182             0            0
37 38    196             2            1.02041
38 39    213             1            0.469484
39 40    209             0            0
40 41    196             3            1.53061
41 42    198             1            0.505051
42 43    201             1            0.497512
43 44    205             1            0.487805
44 45    212             4            1.88679
45 46    210             1            0.47619
46 47    206             1            0.485437
47 48    200             1            0.5
48 49    215             0            0
49 50    219             1            0.456621
50 51    221             0            0
51 52    231             0            0
52 53    219             1            0.456621
53 54    238             0            0
54 55    239             0            0
55 56    229             2            0.873362
56 57    234             4            1.7094
57 58    223             0            0
58 59    212             1            0.471698
59 60    215             2            0.930233
60 61    220             0            0
61 62    221             2            0.904977
62 63    221             2            0.904977
63 64    230             1            0.434783
64 65    231             1            0.4329
65 66    220             1            0.454545
66 67    230             1            0.434783
67 68    238             1            0.420168
68 69    238             1            0.420168
69 70    245             2            0.816327
70 71    245             0            0
71 72    261             0            0
72 73    259             1            0.3861
73 74    270             0            0
74 75    274             0            0
75 76    276             0            0
76 77    274             3            1.09489
77 78    271             1            0.369004
78 79    271             0            0
79 80    261             1            0.383142
80 81    256             2            0.78125
81 82    244             1            0.409836
82 83    256             0            0
83 84    263             0            0
84 85    248             1            0.403226
85 86    244             1            0.409836
86 87    237             0            0
87 88    238             1            0.420168
88 89    219             0            0
89 90    234             3            1.28205
90 91    226             1            0.442478
91 92    230             2            0.869565
92 93    231             2            0.865801
93 94    237             2            0.843882
94 95    254             1            0.393701
95 96    233             1            0.429185
96 97    227             0            0
97 98    236             1            0.423729
98 99    212             1            0.471698
99 100    204             0            0
100 101    209             0            0
101 102    221             0            0
102 103    220             1            0.454545
103 104    232             3            1.2931
104 105    234             1            0.42735
105 106    247             1            0.404858
106 107    256             1            0.390625
107 108    252             1            0.396825
108 109    246             0            0
109 110    253             1            0.395257
110 111    235             3            1.2766
111 112    205             1            0.487805
112 113    226             1            0.442478
113 114    218             4            1.83486
114 115    228             1            0.438596
115 116    234             2            0.854701
116 117    240             0            0
117 118    247             2            0.809717
118 119    248             1            0.403226
119 120    250             1            0.4
120 121    264             1            0.378788
121 122    265             2            0.754717
122 123    268             1            0.373134
123 124    268             1            0.373134
124 125    263             1            0.380228
125 126    263             1            0.380228
126 127    245             1            0.408163
127 128    228             0            0
128 129    223             0            0
129 130    230             1            0.434783
130 131    238             1            0.420168
131 132    220             1            0.454545
132 133    242             2            0.826446
133 134    243             1            0.411523
134 135    242             3            1.23967
135 136    219             0            0
136 137    203             1            0.492611
137 138    214             1            0.46729
138 139    219             1            0.456621
139 140    221             2            0.904977
140 141    215             1            0.465116
141 142    231             0            0
142 143    231             1            0.4329
143 144    231             1            0.4329
144 145    243             2            0.823045
145 146    243             1            0.411523
146 147    249             2            0.803213
147 148    262             1            0.381679
148 149    258             2            0.775194
149 150    240             1            0.416667
150 151    232             1            0.431034
151 152    217             2            0.921659
152 153    207             0            0
153 154    205             2            0.97561
154 155    206             1            0.485437
155 156    211             4            1.89573
156 157    217             2            0.921659
157 158    221             1            0.452489
158 159    220             1            0.454545
159 160    208             2            0.961538
160 161    198             0            0
161 162    198             1            0.505051
162 163    208             1            0.480769
163 164    212             0            0
164 165    218             1            0.458716
165 166    215             0            0
166 167    194             3            1.54639
167 168    194             0            0
168 169    188             0            0
169 170    196             1            0.510204
170 171    206             0            0
171 172    221             1            0.452489
172 173    217             0            0
173 174    220             0            0
174 175    230             4            1.73913
175 176    230             1            0.434783
176 177    217             1            0.460829
177 178    225             2            0.888889
178 179    227             3            1.32159
179 180    220             1            0.454545
180 181    217             4            1.84332
181 182    220             1            0.454545
182 183    215             2            0.930233
183 184    222             6            2.7027
184 185    219             3            1.36986
185 186    226             3            1.32743
186 187    226             4            1.76991
187 188    219             1            0.456621
188 189    201             0            0
189 190    195             2            1.02564
190 191    191             4            2.09424
191 192    183             1            0.546448
192 193    184             0            0
193 194    192             2            1.04167
194 195    187             2            1.06952
195 196    197             1            0.507614
196 197    209             1            0.478469
197 198    196             1            0.510204
198 199    184             0            0
199 200    185             1            0.540541
200 201    189             1            0.529101
201 202    190             1            0.526316
202 203    198             0            0
203 204    207             0            0
204 205    193             2            1.03627
205 206    196             1            0.510204
206 207    196             0            0
207 208    197             0            0
208 209    212             0            0
209 210    222             0            0
210 211    220             1            0.454545
211 212    215             2            0.930233
212 213    202             1            0.49505
213 214    193             1            0.518135
214 215    186             2            1.07527
215 216    186             1            0.537634
216 217    196             0            0
217 218    176             3            1.70455
218 219    185             0            0
219 220    179             2            1.11732
220 221    178             0            0
221 222    181             0            0
222 223    176             1            0.568182
223 224    182             1            0.549451
224 225    177             2            1.12994
225 226    176             1            0.568182
226 227    177             2            1.12994
227 228    167             1            0.598802
228 229    171             1            0.584795
229 230    176             0            0
230 231    174             1            0.574713
231 232    171             1            0.584795
232 233    167             1            0.598802
233 234    164             2            1.21951
234 235    163             3            1.84049
235 236    175             2            1.14286
236 237    182             2            1.0989
237 238    193             2            1.03627
238 239    201             0            0
239 240    199             1            0.502513
240 241    180             2            1.11111
241 242    172             0            0
242 243    173             1            0.578035
243 244    168             1            0.595238
244 245    161             0            0
245 246    167             1            0.598802
246 247    167             1            0.598802
247 248    180             1            0.555556
248 249    173             0            0
249 250    179             0            0
250 251    167             1            0.598802
251 252    164             0            0
252 253    168             0            0
253 254    162             1            0.617284
254 255    169             0            0
255 256    168             2            1.19048
256 257    181             0            0
257 258    182             1            0.549451
258 259    173             0            0
259 260    171             2            1.16959
260 261    171             0            0
261 262    169             2            1.18343
262 263    165             1            0.606061
263 264    167             1            0.598802
264 265    170             2            1.17647
265 266    185             2            1.08108
266 267    178             3            1.68539
267 268    179             3            1.67598
268 269    173             2            1.15607
269 270    160             3            1.875
270 271    160             1            0.625
271 272    150             1            0.666667
272 273    148             1            0.675676
273 274    145             0            0
274 275    161             0            0
275 276    164             2            1.21951
276 277    162             2            1.23457
277 278    165             0            0
278 279    160             1            0.625
279 280    164             2            1.21951
280 281    167             1            0.598802
281 282    164             2            1.21951
